Probability stats:
17a61bb65f1c03e153c7be932d2cccad764f7428 28.3088%
49666ddaf3b1aa6935e1f8c5773f1a13c3b171e1 0%
29f73f0d25e4a844d7a8fe4e605d12a944536207 52.0889%
3f3f6eaee8ccf718fc9ffdf7af5dc0919a6bf24a 0%
f743532e57024abf468b4bc83d1ca0a3f3718672 50.0%
58f62f88a8bba028f658da5e7b2c03b4c6735b6e 25.0%
3a837203a5aa35a5216c59ca58a5eb78d63864ff 33.3333%
1a86b3cb5a785d8c23b90edd69756ebf62094ea8 25.0%
d211f0f4747a55b2f7c17fe5b60a5a95d1e409c8 33.3333%
eb80bc7798503c72f41f31bb87bf7b6980152efb 0.0%
3b0346d84c7cd732a46b6d81b065bf80c17cd898 25.0%
65ade1fc87dc77a7a35dd9f58d8865e8e8814859 65.3333%
5dd6d505cc36eae7b9cd9efaf9eda6696cbd7ff7 33.7963%
2fe2b828097232908d8bac0538d92bfabb6b9801 55.5769%
06fc29aecd64eb02e08cadc6a8c7f969cc49ee85 72.3837%
536627007d6d812060fd560c073720440dbdf86b 75.2533%
3c58953e56c18ad26d9449cacbb7e22d48245d94 41.6667%
0d317839d20d3793317125d50ab8ab0b139391a2 49.1556%
fa9443f12120025c8b5624a2ca34e02bfca8962d 14.2857%
a7425ac5588c3f4f4737c35fe5151a1e5ba98b6a 49.1556%
9611ff73864bf4e79f399fb11951c086679e6256 0%
87e6277977d2f2ec17a7d76028b18a0d35e5f921 0%
FIXED_0945b14debeebd06d9f05f082fa33fe8fcbba79a 45.8333%
1b60180b79a43c0d2ca65c745cf22e133f7d58e9 45.4545%
bfc6e4dd0f57457b0ecab4321d755b6b9254ed2c 25.0%
57ce96d23efb4300b2636f2cd2e530d6fea9e12d 0%
64f67f4bdae118b2406583d0ec58dbbe802423b6 75.0343%
5b2e6a568fcbaad56dbd4efed4f64f5ca88a3b7a 10.5263%
8cb96759651455927bc86c7ac10088371ed4ac6e 22.8571%
FIXED_011fcc7dd4a4807dfebdc0ac6e9df37a781142da 95.4018%
a62c982a3d63289192df48751a6fe1895aeab127 0%
08210d55c34c66c48cb88f697d0d6625593a8ad6 24.2105%
62f0122cd52e3c670c38ec60f292cea465393c04 12.0%
8cb3994022e45676aa79a9ebee88a8a05aa0221e 60.9464%
FIXED_cad4db128bc1b6d57614b0802708f91f5553987b 0%
4871ebf24e7e8cdb5eca80c6ede08253d7c84a41 38.6925%
929f621be47ca91722eccb367ec7e606c8820b00 44.0%
2c8ff2794d08555773f88771c690f28bff22300c 7.1429%
d1a7527c0dd626e6d122d7f51ca1d4aaadf7fafa 0%
3be5ea34a450799bc05ec5ecae820779a1003285 62.9234%
4ce728300bbe8e2ab5111a33db8e453c728a9afc 82.1617%
1999260f9d620f13c0c38cede7934a986afcbcd8 35.8025%
ceef257348393864ed1f45bac52d3b50873f36e8 15.3846%
babeb468c183d5cb74a430abe8e48e3b731996ab 67.6113%
85ce72282b7e75484b1f094dc71fcef9e8ec99bb 0%
f80f0f2422d4b57b49ce87a746b797ef4892466a 81.3147%
9f81362027656730d73fa26a978f2057c1ba9886 58.9893%
cc54be0d1dea868e5b0c0822051d3dff1dd51348 0%
40680a5e0f7e087bb5ce70bb05ffba71a5361a48 43.5062%
f849a94dc533621506f25e309c2873a2f1dee939 81.556%
50fee8b0f401c70f11e9e270e6fc10cfc3b62bcc 38.6925%
efb3fad1948bc9cb0cc8fa7085112c06213987bb 0%
1733ed670c96b54eb28d16cd06be4cae40c09701 0%
cd7000da705a2cf693190464f1087a9f7fb953f4 96.3039%
b96d78ed19b6f090ac91055ad390e1416419f8d2 0%
164873b344c14cf2c21d38364b37ea17bde98697 45.4743%
8df0711f8039eb74f0485b8656f789a9454d716e 14.8148%
183ce534b9c22f0cbd9d8514d88d0ad6ac46cc20 0.0%
cc2e5ab6fd1cde711a1b2e0b36032bb674d81bbc 57.3964%
5d6df87af09023a33b4abf2d60c60b4ff98766f8 0%
7b6be96eb35431b8b82c252caa19a589a666bc37 10.5263%
668276f0dfb50082dd1daa4609221c1667c93e2f 0%
d23262856ed12bf078c6437ec4b4e947ec363e58 0%
069c5d6a357b006830ecd55a081eceb7268699a3 0%
2e5b1209868c6206ca204cd3625e974bb2bdeabc 95.4713%
948b53393aa7e845ffc45a6ad523f930708b0447 43.6129%
b52c16c43fcc417e5802ccbc10eb51a7e17cea64 99.3168%
a580df5c9f9b0f19770c73fd8e3ddc84d571bee0 99.6006%
c3c2882dc588320a2a846352f2beb58732544dc4 74.6032%
0b3c77c79c509df875e8cef82639fe4ed4e8be15 25.0%
8e01eb8702590a88dbe66a92eb78781b3a82b1f4 73.149%
c34cbb19bc26d63f70887ab0e135bba5e48a223f 0%
7b668f17f54b2d3a40cfb2c1b92d13f2abce93f5 40.8436%
c2e5a1a524632b535ef4f0e23591f20c9c0df75f 99.9243%
2e9152e223a5ddec8e6e465e35714621df12074a 0%
9a3afc56e73fe638b591b5b5215f4f002fd8d8d2 0%
3fc907d4465156fe20ed9176c1cb1c9fe52780da 0%
7b8a8254899520546d007a99eb7833a1e6ada0c4 23.8095%
3fdc5bb2b1665aab415225f8b543b74af9c78629 67.3549%
ae87ee6dd007d4ff38ff8feb23bc335ad578403d 14.8148%
d6680a0bcc77cd716787368cea0c16fc59a98a57 58.7302%
304df8674a2013d71b595428daeb01e72e92c82c 0%
FIXED_6fe1db42b5e6024717e0dbb25ac152085b555024 100.0%
bc22f69ac5ce908cca1ad68a792db19f4b280a50 87.429%
0b50122aace8f3b056359a2bc75016629d466dd2 16.6667%
5731fb8912db096a0d4ad5e09e64411f6cc56345 14.8148%
74ab42069f585c7c5f418734cb8f540d1adc36f5 86.9994%
5d0e9724dbf53419db1af69f8ffe25f5660bdf17 14.8148%
18fc93789b2361dedbd94081f519513d28ba8930 80.5902%
c492317ffee8f3c3acce41dde721051e878addbe 96.0371%
fbf4afff8e2ac3a9b6dfb7450809dd4303f2be3a 93.5469%
5fc0fb24f47bd0d4fccbc0fca5efcdfb88468d89 22.4561%
615cec3066cdd8ae2ef5bfee94afd065b12001cc 78.9993%
af4b61143ff1b172db6d3f090cc1e178985e2d93 14.8148%
c7644cf366c0905a6e5f2bfd49c9b184bb1bc51e 0.0%
e51046581801d16f020a535a6227fd7eb8bda1bc 47.4173%
f1cca0f298ff7fae2e69a5f8100383199b12e96c 20.0%
64374610eaa1f862758fe268aecef648a2687749 14.8148%
d7dad057f881635291508cb682b1b2e8c645cab4 14.8148%
92e7631032db241b322b275f1b4334b156b0e61e 0%
48a20c2b381c31b730da80b2e4cdc23556c0a3af 69.3802%
f5aaaca949c705391e24914adec28cb8af2a1b6c 14.8148%
72d36b964a7549dd42ff33e5333efdd44a67e9cb 71.4747%
b1adaf9c4e6eb36e3c3b036e331ecc6b971b359c 45.7143%
a9a888ef54ec225e49d8652bb82ef99b3a45307c 35.8025%
d947a512e6f5b0d3c86949eaf980a50f396f4d53 87.9004%
13093b6f62e91fcc503ec1483e9abb59bc76a73d 25.6966%
2517ea5148309211a485404d55aeaa15d92fb8a6 14.8148%
4dd5925f410ff162c992dff157a98801271f5ffb 0.0%
8b209924244061c656e431ac18091497860aade9 0.0%
FIXED_995ec34bf80608668cd494ce5592cafc41bb64cb 95.8175%
fcb5e2ee5a72d7f4aacfc85ce997bf8841664757 20.1389%
da94b96b0e59ce6d868210006e2670374a734653 36.7901%
08682a822e984c812dcf903074aee6a7277c467b 98.3118%
406109b091c0058dfb1091a9049e3251cd7e1abd 53.8468%
eae858e20b224af0e7f652d83252483b6b880a00 0%
02b37ef4667a1c6661a35ed794fb718e2dff0334 25.1515%
225c4a8dfba0060e31e68d19bcfeec85fc1f6ad5 0.0%
fc12e0e3fb07da3da8ac15c6aaaaf3ab1b32e2cc 20.1389%
b6ad21fec602d26591ff8edc37fb33af27bcf514 14.8148%
303b4399db2b3445e658e831499859920124da0a 0.0%
b949d482a16abf0d49a75b769663f4432cb600ae 0.0%
9b0cf8af49b1005ba7c6bc1ec3385110bb54b6b1 25.1515%
13684488ef577135e70ec38c6d08494b35f6675b 0%
b0d3b5c76e842a961a1e64ec6809bf14f0ca0831 14.2857%
1c4a0f8fec568c0abf60f4066117416baec8a551 33.3333%
b3a431570ca927080c31959c62b7eaea124e2439 67.2245%
4f88221bce91633bbe8283b33fa4c22c9092a9cd 76.6475%
1cebf1dbd065901cddcd3603c14045c1a45e024c 46.4375%
8f76120e4e514668fa0ba43f290d4fecdded99c0 65.4589%
3c06c686910e305dc60b3390905df4fb8cc35b76 23.8095%
0fea2a86da7b991c986e891d8db181ba424a55c3 72.0684%
b6e78a1c2d6f29b7f075e81a781da4f89d1595dd 25.0%
4e544df084d85d6122c77396c9dbc1879f97c1e7 0.0%
f7a441987771dc0fb9cd4341f30f91d72ce638d6 6.25%
dedea0dd27625aed8b2c3d165ce6e8dd2f35b140 0%
da1ccabd1ef1297aec72876e7573e868aa2a1629 85.8538%
2b5ee783972858e6c83249f6d1ca1ab81f44acc4 99.4704%
8ad98291eb5bf67e8816b2ec20a4d81d492e16f6 0.0%
8f7445c299eb38970e3fa15953ee1625d7e46dac 99.1539%
b597d40470c87034fb57b965a1f1988dd9c5d754 96.5986%
7b882ebff3405e465afe98ec5873fba7b9e25024 14.8148%
3261f462757df02ff8de84534d3affe8b8646c6c 10.0%
6ad6ba2327f5b97ee878dcd103f498a0e43da7a4 0%
3874523e6100c9a9aaacf1b59bf24d5364d4aecb 68.3775%
6f3663cd967505bfebe268cbb480efa2afbfb258 64.7825%
516ca61b730f24f183a88ce4f48aa857b0f94739 11.7647%
ff5a1eebd750768cbbe1f8106eebe3b8a1af10e4 23.8095%
c77996a8914d29bb1b21d537da2845cde8f09e2a 47.7314%
017bbfa6d6dc11adfb271963523eedbed69f4b01 60.358%
ef8034836c7f79ec014973475909fe8c8526e1eb 0%
6f8ab0f3ffd27ebada3f69050f7c21892b3874e1 41.5%
61cf4512b0d6123330aa443ebec59eb1322cde77 0%
f982391a83565e317d49cd8406a08cbd8944cddb 35.7143%
FIXED_475f258f5bd63d56cd56bca4fecb1cdeca149678 99.9756%
925773dbd631182444b9c0009b26254e6e52022c 79.3486%
226e9c156a4650b164e84b57a9640856096e5fb8 97.1176%
321183db52a9c7f0f19b25aafb7dd216fb2a60a7 14.8148%
e88ab634d9875257209f38c15c0f5711f890a4e0 0.0%
825bea59f0a29df60887d65224d9de7e315652c3 0%
3fa918169e141bbfb297336dd0ec8207160ac2cc 99.5685%
4535e0ce6dbed91cb83fe35870147c30364017cf 0.0%
d609f2741de57776bcfb32a2cfcd4251c85c01a8 72.1839%
d6418f5ff9b1ad3eb866367c521ae195ad7c0025 81.039%
a8f0c9a7b171f70be64bb97626aa5180e9bf49ef 0%
d661134b032b873c5ccc7b2fcb8184f3d68486c4 96.6907%
3d8997a43a4bce292c120b0b3995083494c41039 49.4773%
374721fa485dc0aafb1f1561ec96c82581a892cc 0%
076c42d9c423a42f6141c86ffb36bc2265d79bcd 14.8148%
5290270daa7d4b0e579f5772702e667b09677776 0.0%
6a40be9f8e28e8b34c52680b05679dc65162cf28 0%
308adef98dc9c3526fa41432ab3ebc686eeac434 12.0%
9a6e2d10cec5520f714c20f1f7b8490248b93c61 65.2632%
48eb618959261bbf00edcf977496384dd7d959f3 38.7755%
88507c120729a3b22cb04e046cf879f19e45273f 0.0%
9bec29a03e3a81772c921bfeb105a249c4f2e8e7 83.6653%
aed1004f39a277c3931a6bffad0cb28ab5d34228 6.25%
e37bc5a832a3779f2be85993da9910126d7ec6db 0%
63ddb2917d0500dc72538c8c1123267271255a61 31.5556%
8eb4273e4a25257fc49a45b05e7d8582b881a732 0.0%
1710cc526f8364b3113b275382d4bc15cc53f62f 0%
494c4f45786f6133a0765faff476ba043b4c1bc0 26.6667%
3fc74490de1a8a91d88304071e413389c81e3355 25.0%
ee3c753c99462e2d8f4c5826343c9ba58451f01d 35.8974%
cc2af0e449d1d736a75010b83fd5242e3e61a9d8 0.0%
1fb8018f0b7a66c12839ec0b05e2e24ea86f3cfa 59.8242%
5dc3d4a39e8842c261f809597776777f8193b957 33.0128%
aa40793a681c1aa3a0e97a0eadd59acb4880c3c8 50.0206%
6589671da8f7b67e41c8c5b72b74036fd5229931 0%
019288ca73b7d419ab8c3e498036b6aaaf73de90 20.0%
247e37d5afcf55e40926b49a8b6d17f104f449c0 0.0%
27bd3e80de3452f0f47326f4a0bdff02da91b82f 14.2857%
7ddd4caf47d3e464061d895b23f4fb0a1dbfcce8 25.0%
b40060fd3641043be8fafbd38e96b369933b5987 0.0%
73812cd58d1cefa6cf68737271939ffcf4b49035 88.0051%
493391bb0386ccbe6dca499122c1054266624b36 46.6667%
7e858509e65c5684dc6a76776bc939919bc7d26c 0%
50c8947ad565471ad878edd2b4b6acb3fa0b9b40 77.2668%
1edf40ef69c3e1f1058d59c9ee8b91ad1811d100 0%
3dc71a6ec77d38f4d71b721ea8f73c2d59f5fba1 23.8281%
63d9f092c5fbb10a1c7ea824b64e5e8ff52b43e1 36.0947%
b20741cca848ae8709d3931c33c7c9747f15057f 70.4468%
9db1f57307b942a3758372b35545b00bbfa8308f 26.6667%
5e84a57759335bc61a8eaddf969608b5f3637623 25.0%
d2084f869be776f6b6da8bea7e6191c1cca22d68 0.0%
f70ad6891d6cc47f8fec45a04f28de20e9a8944b 25.0%
527745ad15b6464f231282a460af94809813e06c 38.4615%
050c2ccbd5da2b294f2c9219eeb92cef3b94ef27 52.1678%
a08ad0ebabd21ccd0928358b4771ad0ed865e154 54.4675%
bdaeb3a68b2c8e0ac17fdd0bed095c04b6dbb6d3 92.8496%
b8c01524c562095b0b03c5e1e616c86eacc1071e 34.0%
FIXED_06bffd0ba5fda972e548e05fefffbed1c06d4136 96.875%
2f72bfa946a24d8a0654955afdd70e1e877d91b2 0.0%
